ConvNeXt-XL: train_bb False, hidden_dim 128, lr=0.001
Step 100: Test (3.7s): Average loss: 0.6667, Accuracy: 564/1024 (55.08%), TPR: 100.00%, TNR: 0.43%, TNR+TPR/2: 50.22%
Step 200: Test (0.4s): Average loss: 0.6672, Accuracy: 564/1024 (55.08%), TPR: 100.00%, TNR: 0.43%, TNR+TPR/2: 50.22%
Step 300: Test (0.4s): Average loss: 0.6629, Accuracy: 564/1024 (55.08%), TPR: 100.00%, TNR: 0.43%, TNR+TPR/2: 50.22%
Step 400: Test (0.4s): Average loss: 0.6432, Accuracy: 573/1024 (55.96%), TPR: 100.00%, TNR: 2.38%, TNR+TPR/2: 51.19%
Step 500: Test (0.4s): Average loss: 0.6075, Accuracy: 643/1024 (62.79%), TPR: 98.93%, TNR: 18.83%, TNR+TPR/2: 58.88%
Step 600: Test (0.4s): Average loss: 0.5701, Accuracy: 734/1024 (71.68%), TPR: 95.20%, TNR: 43.07%, TNR+TPR/2: 69.13%
Step 700: Test (0.4s): Average loss: 0.5395, Accuracy: 796/1024 (77.73%), TPR: 90.93%, TNR: 61.69%, TNR+TPR/2: 76.31%
Step 800: Test (0.4s): Average loss: 0.5173, Accuracy: 816/1024 (79.69%), TPR: 86.83%, TNR: 71.00%, TNR+TPR/2: 78.91%
Step 900: Test (0.4s): Average loss: 0.5024, Accuracy: 820/1024 (80.08%), TPR: 85.77%, TNR: 73.16%, TNR+TPR/2: 79.46%
Step 1000: Test (0.4s): Average loss: 0.4929, Accuracy: 821/1024 (80.18%), TPR: 86.83%, TNR: 72.08%, TNR+TPR/2: 79.46%
Step 1100: Test (0.4s): Average loss: 0.4921, Accuracy: 824/1024 (80.47%), TPR: 90.21%, TNR: 68.61%, TNR+TPR/2: 79.41%
Step 1200: Test (0.4s): Average loss: 0.4971, Accuracy: 820/1024 (80.08%), TPR: 91.64%, TNR: 66.02%, TNR+TPR/2: 78.83%
Step 1300: Test (0.4s): Average loss: 0.5034, Accuracy: 823/1024 (80.37%), TPR: 93.95%, TNR: 63.85%, TNR+TPR/2: 78.90%
Step 1400: Test (0.4s): Average loss: 0.5049, Accuracy: 829/1024 (80.96%), TPR: 95.37%, TNR: 63.42%, TNR+TPR/2: 79.40%
Step 1500: Test (0.4s): Average loss: 0.4985, Accuracy: 834/1024 (81.45%), TPR: 95.73%, TNR: 64.07%, TNR+TPR/2: 79.90%
